Locality,Area,Address
DLF -IT park ,70,"Manapakkam,Chennai"
Shriram The Gateway SEZ,50,"Perungalathur,Chennai"
ESTRA SEZ,45,"Ayyapanthangal, Chennai"
Embassy Splendid Tech Zone,40,"Pallavaram, Chennai"
ETL Infrastructure - Chennai One,37.8,Thoraipakkam
SRM Tech Park,34,"Potheri, Chennai"
RR skyline,24,"Ambattur industrial Estate, Chennai"
One IndiaBulls Park,24,"Ambattur industrial Estate, Chennai"
"International Tech Park, Chennai",20,"Taramani, Chennai"
Global Infocity ,18,"kandanchavadi, Chennai"
RMZ Millenia - Phase II,17,"Taramani, Chennai"
RMZ Guindy,16,"Guindy,Chennai"
Tidel Park,15,"Taramani,Chennai"
Olympia Tech Park,13,"Guindy,Chennai"
Ambattur Clothing Co,12,"Ambattur,Chennai"
Citilights freedom/pacifica,11,"Navalur,Chennai"
Ascendas Mahindra city IT park,10.5,"Mahindra city,Chennai"
IITM Research Park,8.2,"Taramani,Chennai"
Prince Info City II,8,"Kandanchavadi,Chennai"
Olympia Tech Park II-Pallavaram,8,"Pallavaram,Chennai"
Menakur Infrastructure ,8,"Navalur,Chennai"
TEK Meadows,6.35,"Sholinganallur,Chennai"
TVH - Agnitio,6,"Perungudi,Chennai"
TECCI Park,6,karapakkam
Appaswamy/XS real - The futura,5.7," Sholinganallur,Chennai"
Tidel Park Avadi,5.57,"Pattabiram,Chennai"
,,
Ampa Infospace,5,"Nelson Manickam Rd,Chennai"
Prestige Cybertowers,5,"Sholinganallur,Chennai"
Alpha city -SSPDL,4.8,"Navalur,Chennai"
Pioneer Asia - Tamarai Tech Park,4.4,"Guindy industrial estate,Chennai"
ETA Ascon,4.4,"Navalur,Chennai"
ASV suntech Park,4,"Thoraipakkam,Chennai"
TNPL,4,"Ambattur,Chennai"
Reliance Tech Park,4,"Koyambedu,Chennai"
Maansarovar properties - Maan sarovar Heights,3.9,"Semmenchery,Chennai"
Arihant insight,3.3,"Ambattur Industrial Estate,Chennai"
ROVERCO - Times square,3.25,"MRC Nagar,Chennai"
Prince Infocity,3,"Kandanchavadi,Chennai"
Prince Info Park (IT),3,"Ambattur Industrial Estate,Chennai"
Prince foundations - Technopark,3,"Semmenchery,Chennai"
Allied Investments & housing,3,"Thyagaraya Nagar,Chennai"
Vishranthi homes Oceanic tech park,3,"Santhome,Chennai"
Ramaniyam Greeta,2.8,"Perungudi,Chennai"
Global Infocity,2.7,"Perungudi,Chennai"
Alliance Orchid Tech Park,2.5,"Ambattur,Chennai"
Ramky wavoo developers,2.5,"Siruseri,Chennai"
Maansarovar properties - Techno creek,2.5,"Kottivakkam,Chennai"
Indus cityscape - Techscape towers,2.5,"OMR,Chennai"
Appaswamy/Chaitanya - e-gate,2.5,"Sholinganallur,Chennai"
Matrix towers - (SSPDL),2.5,"Perungudi,Chennai"
Vishranthi homes Jayanth Techpark,2.4,"Nandambakkam,Chennai"
KK agarwal co ,2.4,"Sholinganallur,Chennai"
Arihant Technopolis,2.3,"Perungudi,Chennai"
ceebros ,2.3,"Teynampet,Chennai"
RR Towers Industries phase 4,2.2,"Guindy industrial estate,Chennai"
S.P. Ramesh IT City,2.18,"LB Road, Tiruvanmiyur"
A.R Foundations - Acropolis,2.1,"Mylapore,Chennai"
Shanthi Builders,2.08,"Mylapore,Chennai"
Marg Digital Zone II,2,karapakkam
Marg square,2,karapakkam
KG Builders - 360 degrees,2,"Perungudi,Chennai"
Lancor Gesco,2,"Alwarpet,Chennai"
Bharathkumar Kamdar - (Prince Tech park),1.9,Thoraipakkam
Resurgent Investments,1.9,"Sholinganallur,Chennai"
Exceed ESPEE IT park,1.86,"Guindy industrial estate,Chennai"
Bahwan CyberTek IT Park,1.8,Thoraipakkam
Harindar singh & others,1.73,Thoraipakkam
Puravankara Primus,1.71,Thoraipakkam
TCG group/WS - IT park,1.7,Porur
MPL SILICON TOWERS,1.6,Pallikaranai
Arun Fabricators,1.6,Navalur
Kerry jost engg co,1.5,Ambattur industrial estate
Ceedeeyes Tech Park,1.48,Thoraipakkam
Jayasree Financiers,1.43,Sholinganallur
Rayala corporation - Rayala Technopark,1.4,Kottivakkam
Arihant ,1.4,Tiruvanmiyur
ESPEE IT Park,1.3,"Saidapet, Chennai"
Robin estates Bridgetown IT park,1.25,Adyar
Mayfair Exports,1.24,"Manapakkam,Chennai"
Bascon IT park,1.2,"Thyagaraya Nagar,Chennai"
Succons OKI Infotech Park,1.2,"Navalur, Chennai"
Keyaram Hotels ,1.09,"Chetpet,Chennai"
Krishnan Sivagami Trust,0.98,"Kelambakkam,Chennai"
Bhanumathi & others ,0.93,"Perungudi,Chennai"
Quanta Engineers,0.89,"Teynampet,Chennai"
Ramaniyam - Baid Hi-Tech Park,0.8,"Tiruvanmiyur,Chennai"
Ramaniyam - Bristol,0.8,Guindy
Aravind IT park,0.5,karapakkam
