Ward No,Population
1,76760
2,66897
3,52995
4,15186
5,45204
6,19523
7,22161
8,33039
9,20306
10,44747
11,33287
12,16254
13,21829
14,35130
15,19952
16,22947
17,24670
18,16424
19,15457
20,13276
21,16044
22,26177
23,18434
24,21002
25,19261
26,20239
27,24426
28,26156
29,19415
30,25286
31,32152
32,32269
33,41617
34,49559
35,40075
36,52262
37,26491
38,35187
39,30573
40,51479
41,21550
42,27857
43,15835
44,14291
45,17871
46,12747
47,14379
48,18269
49,16889
50,51527
51,46250
52,23233
53,23831
54,39058
55,23220
56,38123
57,21805
58,30577
59,23595
60,29821
61,17321
62,11047
63,81648
64,72144
65,95564
66,50926
67,37331
68,32999
69,27133
70,26313
71,12091
72,32446
73,22662
74,56960
75,60126
76,24524
77,23619
78,23476
79,19748
80,20318
81,17123
82,16338
83,19140
84,17825
85,11304
86,16185
87,14375
88,23618
89,16014
90,17329
91,22285
92,16511
93,17368
94,22407
95,11664
96,12954
97,20860
98,17466
99,15460
100,9545
101,12703
102,9377
103,16595
104,20897
105,17965
106,20023
107,22902
108,20042
109,18546
110,13867
111,18480
112,14912
113,19701
114,32913
115,24775
116,23624
117,36192
118,34310
119,23472
120,28874
121,25912
122,30204
123,25733
124,22907
125,20416
126,17718
127,24606
128,58003
129,59322
130,55784
131,58468
132,41733
133,25793
134,23054
135,49869
136,33270
137,22019
138,37720
139,35299
140,33089
141,54598
142,26525
143,20124
144,21231
145,24508
146,17539
147,17881
148,17914
149,32138
150,31270
151,34509
152,25707
153,14362
154,53855
155,75748
156,25117
157,13344
158,11239
159,24334
160,20553
161,20553
162,20553
163,20553
164,20553
165,20553
166,20553
167,20553
168,43111
169,43111
170,33089
171,54598
172,57448
173,32138
174,57448
175,34509
176,25707
177,57448
178,57448
179,57448
180,53855
181,53855
182,75748
183,20217
184,43111
185,26766
186,43111
187,35752
188,43111
189,43493
190,43111
191,19100
192,28458
193,35602
194,76600
195,35602
196,21158
197,8958
198,35602
199,5037
200,29759
